吖	口丫
𧩸	訁𠆢一口廾
𧫥	訁广大电
𧫧	訁𠆢丶㇇酉
𧮍	訁門立日
𨲊	E𠫔山厂干
𩅝	雨云大电
𩈴	面立日
𩓤	山厂干頁
𩭢	E𠫔彡山厂干
𩹎	魚立日
𩽾	鱼宀女
𪁟	𠆢丶㇇口鳥
𪒠	{里}灬{⿱𠃍耳}攵
𪘒	止凵人人一人人𠆢丶㇇口
㦹	日一勿戈
㭿	木日丿𠄌卩
㼜	央瓦
䀚	目丿𠄌卩
䍩	{羊}攵
䒢	艹丿𠄌卩
䩕	革丿𠄌卩
䭹	馬丿𠄌卩
䭺	馬亠几
仰	亻丿𠄌卩
卬	丿𠄌卩
岇	山丿𠄌卩
昂	日丿𠄌卩
昻	日工卩
枊	木丿𠄌卩
盎	央皿
肮	⺼亠几
醠	酉央皿
骯	冎⺼亠几
𠵫	口日丿𠄌卩
𠹃	口央皿
𡕉	士口冖癶凵口
𡵙	山丿𠄌卩
𢓋	彳丿𠄌卩
𣉗	日央皿
𣖮	木央皿
𤭒	良瓦
𦫫	公习习⺈巴
𨋕	車丿𠄌卩
𩉰	革一巾
𩑝	丿𠄌卩頁
𩔘	龴用力頁
𩜟	飠日丿𠄌卩
㑃	亻幺力
㕭	口夭
㘬	土勾
㘭	土幺𠃌
㜜	女龶{⺈}攵
㜩	女丿冂釆大
㟼	山龶{⺈}攵
㠂	山龶{⺈}攵
㠗	山丿冂釆大
㤇	忄夭
㥿	龶{⺈}攵心
㿰	亠父皮
䐿	⺼丿冂釆大
䚫	白方攵⺈用
䜒	訁丿冂釆大
䞝	土龰玉
䥝	金鹿匕
䦋	E𠫔龶{⺈}攵
䫨	龶{⺈}攵頁
䮯	馬龶{⺈}攵
䯠	冎⺼日皿
䴈	丿冂釆大鳥
䵅	龶{⺈}攵來{夊}
傲	亻龶{⺈}攵
凹	丨㇅丨𠃍一
厫	厂龶{⺈}攵
嗷	口龶{⺈}攵
嗸	龶{⺈}攵口
嚣	口口页口口
坳	土幺力
垇	土凹
墺	土丿冂釆大
墽	土白方攵
奡	𦣻大{⿰丿丨}
奥	丿⺆米大
奧	丿冂釆大
媪	女日皿
媼	女囗人皿
嫯	龶{⺈}攵女
岙	夭山
岰	山幺力
嶅	龶{⺈}攵山
嶴	丿冂釆大山
廒	广龶{⺈}攵
慠	忄龶{⺈}攵
懊	忄丿冂釆大
扷	扌夭
抝	扌幺𠃌
拗	扌幺力
摮	龶{⺈}攵手
擙	扌丿冂釆大
敖	龶{⺈}攵
柪	木幺力
梎	木白匕
泑	氵幺力
滶	氵龶{⺈}攵
澚	氵丿囗釆丂
澳	氵丿冂釆大
熝	火鹿
熬	龶{⺈}攵灬
爊	火鹿灬
獒	龶{⺈}攵犬
獓	犭龶{⺈}攵
璈	𤣩龶{⺈}攵
眑	目幺力
磝	石龶{⺈}攵
翱	白大十习习
翶	白冫丿丶十习习
翺	自冫丿丶十习习
聱	龶{⺈}攵耳
艹	一〢
芺	艹夭
蔜	艹龶{⺈}攵
螯	龶{⺈}攵虫
袄	衤夭
襖	衤丿冂釆大
謷	龶{⺈}攵亠二口
謸	訁龶{⺈}攵
軪	車幺力
遨	辶龶{⺈}攵
郩	㐅𠂇月⻏
鏊	龶{⺈}攵金
鏕	金鹿
鏖	鹿金
镺	E𠫔夭
隞	⻖龶{⺈}攵
隩	⻖丿冂釆大
驁	龶{⺈}攵馬
骜	龶{⺈}攵马
鰲	龶{⺈}攵魚
鳌	龶{⺈}攵鱼
鷔	龶{⺈}攵鳥
鼇	龶{⺈}攵口电
𡊛	土去
𡏼	土龶{⺈}攵
𡒃	丿冂釆大土
𢁱	巾夭
𢕟	彳龶{⺈}攵
𢧴	龶{⺈}攵戈
𢲷	扌宀八亠父
𢳆	扌龶{⺈}攵
𣊁	龶{⺈}攵日
𣷫	氵方攵
𤇯	衣火
𤏶	火鹿匕
𤺾	疒丿冂釆大
𥂢	龶{⺈}攵皿
𥑑	石幺力
𥜌	示丿冂釆大
𦪈	龶{⺈}攵舟
𦽀	艹午頁
𧅃	艹火鹿灬
𧨲	⺌冂口亠二口
𨱧	E𠫔幺力
𩈏	面幺力
𩑍	頁𠄌⺃
𩑤	午頁
𩕀	龶{⺈}攵頁
𩘮	龶{⺈}攵風
𩟇	飠丿冂釆大
𩣻	艹夭馬
𩥊	亠口冂口馬
𩮯	E𠫔彡龶{⺈}攵
𩱏	龶{⺈}攵鬲
𩼈	魚丿冂釆大
𪁾	艹夭鳥
𪃨	山幺幺鳥
㔜	爫子力
㖠	口大示
㞎	尸巴
㧊	扌十巾
㶚	氵覀革月
䃻	石雨革月
䆉	禾罒厶⺝匕匕
䇑	立{卑上}十
䎬	耒⺫去
䎱	耒罒厶⺝匕匕
䟦	𧾷丿𠂇又
䥯	金罒厶⺝匕匕
䩗	革月
䩻	革馬
䰾	魚巴
䱝	魚{卑上}十
䳁	鳥𠂇丶又
䳊	𠂇丶又鳥
丷	丶丿
仈	亻八
伯	亻白
八	丿乀
叐	丿𠂇又
叭	口八
吧	口巴
哱	口十冖子
哵	口口力刂
坝	土贝
垻	土貝
壩	土雨革月
夿	大巴
妭	女𠂇丶又
岜	山巴
峇	山𠆢一口
巴	巳丨
弝	弓巴
扒	扌八
把	扌巴
抜	扌𠂇又
拔	扌𠂇丶又
捌	扌口力刂
朳	木八
柭	木𠂇丶又
欛	木雨革月
灞	氵雨革月
炦	火𠂇丶又
爸	父巴
犮	𠂇丶又
玐	𤣩八
疤	疒巴
癹	癶殳
皅	白巴
矲	矢罒厶⺝匕匕
笆	竹巴
粑	米巴
罢	罒去
罷	罒厶⺝匕匕
羓	羊巴
耙	耒巴
胈	⺼𠂇丶又
芭	艹巴
茇	艹𠂇丶又
菝	艹扌𠂇丶又
蚆	虫巴
覇	覀革月
詙	訁𠂇丶又
豝	豕巴
跁	𧾷巴
跋	𧾷𠂇丶又
軷	車𠂇丶又
釟	金八
鈀	金巴
钯	钅巴
霸	雨革月
靶	革巴
颰	風𠂇丶又
魃	鬼𠂇丶又
魞	魚入
鮁	魚𠂇丶又
鮊	魚白
鲃	鱼巴
鲅	鱼𠂇丶又
鲌	鱼白
鼥	臼{鼠下}𠂇丶又
𠐌	亻罒厶⺝匕匕
𠛋	巴刂
𠵺	口爫巴
𡚭	女八
𢃳	彐冖巾巴
𢇷	广𠂇丶又
𢠭	忄宀上小又
𢺞	扌雨革月
𢻷	巴⺊又
𣬶	毛巴
𣬷	巴毛
𤜕	士冖牛覀木目
𤜱	犭巴
𤣸	𤣩丈
𤤒	𤣩𠂇丶又
𥎱	矢𠂇丶又
𥐙	石八
𥝧	禾巴
𥥛	宀八𠂇丶又
𦓧	耒八
𦫙	白⺈巴
𦳺	艹辶𠂇丶又
𧎱	巴虫虫
𧲧	豸巴
𧺡	土龰十巾
𧺺	土龰𠂇丶又
𧿏	𧾷㔾丶
𨊹	車巴
𩃴	雨歹月
𩊤	革丿𠂇丶又
𩖣	文風
𩖽	風皮
𩚥	飠巴
𩡩	馬八
𩨜	冎⺼巴
𩹏	魚白犬
𩽷	魚雨革月
㓦	百刂
㗑	口龵一丰
㗗	口力{卑上}十
㠔	山尸口辛
㧳	扌分手
㼟	白瓦
㼣	百瓦
㿟	白白
䒔	艹八
䙓	衤罒去
䢙	辶貝
䳆	白鳥
䴽	來{夊}{卑上}十
佰	亻百
呗	口贝
唄	口貝
庍	广斤
拜	龵一丰
拝	扌一丰
挀	扌𠂆{𧘇}
捭	扌{卑上}十
掰	手分手
摆	扌罒去
擘	尸口辛手
擺	扌罒厶⺝匕匕
敗	貝攵
柏	木白
栢	木百
猈	犭{卑上}十
瓸	瓦百
白	丿日
百	一白
稗	禾{卑上}十
竡	立百
粨	米百
粺	米{卑上}十
絔	糹百
薭	艹禾{卑上}十
襬	衤罒厶⺝匕匕
贁	貝貝攵
败	贝攵
韛	𫝀口㐄卄一丿用
𠟻	貝貝刂
𠫛	厶𠫔
𠮠	口{⺈}
𡏯	土貝攵
𡭢	小木
𢈕	广𠂆{𧘇}
𢛞	忄{卑上}十
𣧙	歹手
𤁣	氵罒厶⺝匕匕
𤙅	牜𠂇巾
𤽹	白{卑上}十
𥬝	竹白
𦣺	自丨
𦣻	一自
𦩋	舟非
𦳞	艹龵一丰
𨃅	𧾷龵一丰
𩋂	革非
𩎻	𫝀口㐄非
𩏞	𫝀口㐄田糸
𩑢	不頁
㚘	夫夫
㩯	扌𠂉母攵糸
㪵	半斗
㸞	片片
䉽	米半
䕰	艹火釆田
䬳	飠半
伴	亻半
办	力八
半	丷𰀁
坂	土𠂆又
坢	土半
姅	女半
岅	山𠂆又
怑	忄半
扮	扌分
扳	扌𠂆又
拌	扌半
搫	舟殳手
搬	扌舟殳
攽	分攵
斑	𤣩王文
斒	文户冂卄
昄	日𠂆又
朌	月分
板	木𠂆又
柈	木半
湴	氵丷一业
版	片𠂆又
班	𤣩王リ
瓣	辛辛瓜
瓪	瓦𠂆又
瘢	疒舟殳
癍	疒𤣩王文
秚	禾半
粄	米𠂆又
絆	糹半
绊	纟半
肦	⺼分
舨	舟𠂆又
般	舟殳
蝂	虫片𠂆又
螁	虫辶艮
螌	舟殳虫
褩	舟殳衣
跘	𧾷半
辦	辛辛力
辬	辛辛文
鈑	金𠂆又
鉡	金半
钣	钅𠂆又
闆	門口口口
阪	⻖𠂆又
靽	革半
頒	分頁
颁	分页
魬	魚𠂆又
鳻	分鳥
𠔯	八业丷一夫
𠚼	分刂
𠦒	艹丰
𠧫	⺊日夂
𠯘	口𠂆又
𠺚	口𤣩王リ
𡯘	尢𠂆又
𢲔	扌𤣩王リ
𢴬	扌𤣩王文
𣪂	丹殳
𤡰	犭𤣩王文
𤦦	𤣩分王
𤫫	分瓜
𤳖	釆田去
𥷁	竹辛辛力
𥹓	米去
𦎊	羊白八
𦙹	⺼尸乂
𦝤	⺼丷一业
𧇥	虍几木木
𧌿	片𠂆又虫
𧿨	𧾷𠂆又
𨐦	辛風
𨐱	辛辛月
𨐾	⺄辛辛亠二口
𨭉	文弋一止金
𩔮	𤣩王リ頁
𩢔	馬半
𩭧	E𠫔彡{卑上}十
𩿉	鳥分
𪄕	𤣩王リ鳥
𪒋	{里}灬舟殳
㔙	丷开力
㭋	木丰
㮄	木二勹方
㯁	木⻖立口
㾦	疒立口
䂜	石丰
䎧	耒立口
䖫	虫八干
䟺	𧾷貝
䧛	⻖亠丷冖方
䰷	魚丰
傍	亻亠丷冖方
垹	土丰⻏
塝	土亠丷冖方
帮	丰⻏巾
幇	土土寸巾
幚	丰⻏白巾
幫	土土寸白巾
彭	士口䒑彡
挷	扌丰⻏
捠	扌丘八
搒	扌亠丷冖方
旁	亠丷冖方
梆	木丰⻏
棒	木𡗗𰀁
棓	木立口
榜	木亠丷冖方
浜	氵丘八
牓	片亠丷冖方
玤	𤣩丰
硥	石龙丿丿
磅	石亠丷冖方
稖	禾立口
綁	糹丰⻏
縍	糹亠丷冖方
绑	纟丰⻏
膀	⺼亠丷冖方
艕	舟亠丷冖方
蒡	艹亠丷冖方
蚄	虫方
蚌	虫丰
蛖	虫龙丿丿
蜯	虫𡗗𰀁
謗	訁亠丷冖方
谤	讠亠丷冖方
邦	丰⻏
邫	丰口巴
鎊	金亠丷冖方
镑	钅亠丷冖方
鞤	土土寸革
髈	冎⺼亠丷冖方
𠨵	厂丰
𠬣	㇉一又
𠲑	半口𠄎
𠳐	口丰⻏
𡽲	山木亠丷冖方
𢁏	⺧口丿皿己
𢄎	巾亠丷冖方
𢜗	忄𡗗𰀁
𢪋	扌丰
𢮏	手立口
𢶶	扌立日心
𢸌	扌龵⻏白巾
𣘙	木立口⻏
𣮡	大十廾毛
𣮧	丷一业毛
𤚰	牜亠丷冖方
𤱵	龹田
𥀂	土土寸皮
𦰥	艹龵⻏
𦾭	艹片亠丷冖方
𨢐	酉亠丷冖方
𩋮	革土土寸
𩍗	革日⺫万
𩦠	馬覀示刂
𩮗	E𠫔彡立立
㙅	土口木
㙸	土亻业丷一夫
㫧	日米
㲏	片毛
㲒	句毛
㵡	氵雨包
㻄	𤣩丿一龰
㿺	日共氺皮
䈏	竹{一}口田
䎂	习习包
䤖	酉日共氺
䥤	金雨包
䨌	雨元
䨔	雨光
䪨	立日勺
䭋	飠亻口木
䳈	鳥包
䳰	亻口木鳥
䴐	宀𤣩缶貝鳥
佨	亻包
保	亻口木
儤	亻日共氺
刨	包刂
剝	彑⺢刂
剥	彐⺢刂
勹	丿𠃌
勽	勹人
包	勹巳
嚗	口日共氺
堡	亻口木土
堢	土亻口木
報	土丷干卩又
媬	女亻口木
孢	子包
宝	宀玉
宲	宀口木
寚	宀王缶
寳	宀𤣩⺈小貝
寶	宀𤣩缶貝
忁	彳日出大⺢
怉	忄包
报	扌卩又
抱	扌包
暴	日共氺
曓	日出大本
曝	日日共氺
枹	木包
瀑	氵日共氺
炮	火包
煲	亻口木火
爆	火日共氺
犦	牜日共氺
犳	犭勺
珤	𤣩缶
窇	宀八包
笣	竹包
緥	糹亻口木
胞	⺼包
苞	艹包
菢	艹扌包
葆	艹亻口木
蕔	艹土丷干卩又
薄	艹氵甫寸
藵	艹衣亻口木
虣	弋一止虍几
蚫	虫包
袌	衣包
裦	衣𠀉矛
褒	衣亻口木
褓	衤亻口木
襃	衣𠀉口木
豹	豸勺
賲	亻口木貝
趵	𧾷勺
鉋	金包
鑤	金日共氺
铇	钅包
闁	門門
雹	雨包
靌	雨宀𤣩⺈小貝
飹	飠𠂎卩
飽	飠包
饱	饣包
駂	匕十馬
骲	冎⺼包
髱	E𠫔彡包
鮑	魚包
鲍	鱼包
鳵	⺄十鳥
鴇	匕十鳥
鸨	匕十鸟
齙	止凵人人一人人包
龅	止凵人包
𠅬	亠⺧儿⺊又
𠣒	勹亻二
𠣺	冫匕木包
𠤏	匕十
𠹕	口豸勺
𡂟	口口口木包
𡉩	土犬
𡧖	宀㇇木
𡶄	山包
𢼌	包⺊又
𣋳	日鹿灬
𣭀	包毛
𤔣	爫𦥔又
𤝧	犭亻勺
𤞥	犭口木
𤿈	勺皮
𥄹	目包
𥭓	竹火勺
𦡕	⺼雨包
𦢊	⺼日共氺
𧘑	衤勺
𧝘	衤衣臼
𧭤	訁日共氺
𧵢	貝包
𨇅	𧾷日共氺
𨚔	包⻏
𨠖	酉包
𨰦	金宀𤣩⺈小貝
𨰻	金金金金
𩊅	革𠂎卩
𩍂	⻖勹缶革
𩛞	飠爫子
𩬽	E𠫔彡龴木
𩭼	E𠫔彡亻口木
𩾡	鳥勺
𩿓	鳥牛
𪏶	禾人氺包
㓈	冫石
㔨	勹北⺝
㛝	女貝
㣁	弓卄一丿用
㤳	忄不口
㰆	𰀉冖非木
㶔	氵罒罒罒大
㷶	亻卄一丿用灬
㸢	片卄一丿用
㸬	牜十巾
㸽	牜貝
㻗	非玉
㼎	瓜亠父
㽡	田{卑上}十
㾱	疒癶二儿
䁅	目子皿
䋳	糹北⺝
䔒	艹⻖立口
䠙	𧾷亠丷冖方
䡶	車尸口辛
䩀	非貝
䰽	魚十巾
俻	亻夂田
倍	亻立口
偝	亻北⺝
偹	亻丨攵田
備	亻卄一丿用
僃	亻艹勹用
勃	十冖子力
北	{北左}匕
卑	{卑上}十
备	夂田
孛	十冖子
庳	广{卑上}十
悖	忄十冖子
悲	非心
惫	夂田心
愂	十冖子力心
憊	亻卄一丿用心
揹	扌北⺝
昁	日十巾
杮	木十巾
杯	木不
柸	木丕
桮	木不口
梖	木貝
棑	木非
椑	木{卑上}十
焙	火立口
牬	牜𠂔
犕	牜卄一丿用
狈	犭贝
狽	犭貝
珼	𤣩貝
琲	𤣩非
盃	不皿
碑	石{卑上}十
碚	石立口
禙	礻北⺝
箄	竹{卑上}十
糒	米卄一丿用
背	北⺝
臂	尸口辛⺝
苝	艹北
蓓	艹亻立口
藣	艹罒厶⺝匕匕
蛽	虫貝
被	衤皮
褙	衤北⺝
誖	訁十冖子
諀	訁{卑上}十
貝	目八
贝	冂人
軰	北車
輩	非車
辈	非车
邶	北⻏
郥	貝⻏
鄁	北⺝⻏
鉳	金北
鋇	金貝
鐾	尸口辛金
钡	钅贝
陂	⻖皮
鞁	革皮
鞞	革{卑上}十
鞴	革卄一丿用
骳	冎⺼皮
鵯	{卑上}十鳥
鹎	{卑上}十鸟
𠋭	亻亠厶𫶧口
𠐡	亻非車
𠢥	弗貝力
𡋭	北冖土
𡥞	爫冖子
𡰯	尸巾
𢂏	十巾十巾
𢃍	巾{卑上}十
𢴾	扌非心
𢻵	十巾⺊又
𣎵	山𠆢丨
𣖾	木卄一丿用
𣝁	木竹{卑上}十
𣬍	⺿田匕匕
𣬪	十巾毛
𤜲	十巾犬
𤰈	艹勹用
𤳦	田田田大
𤵛	疒丕
𤷁	疒不土
𤷒	疒田丿十
𤹲	疒共田
𤿒	皮內
𤿾	{卑上}十皮
𥏓	矢日廾
𥶓	竹罒厶⺝匕匕
𦈧	缶不
𦈶	缶不口
𦩖	舟{卑上}十
𦮷	艹貝
𦾙	艹扌十卄大十
𧉥	北虫
𧋲	亠北虫
𧶙	北⺈貝
𧼠	土龰{卑上}十
𨚍	匕匕⻏
𩇩	大非
𩔹	彡頁{卑上}十
𩖠	風女
𩚾	北𠆢丶艮
㡷	广本
㤓	忄本
㨧	扌厶大田
㮺	本口口口
㱵	歹十廾貝
䬱	飠本
倴	亻大十廾
喯	口大十廾
坋	土分
坌	分土
夯	大力
夲	大十
奔	大十廾
奙	厶大电
捹	扌大十廾
撪	扌厶大車
本	木一
栟	木丷开
桳	木厶大十
楍	木口口口
泍	氵本
渀	氵大十廾
漰	氵山月月
炃	分火
犇	牛牜牛
畚	厶大田
笨	竹本
翉	本习习
苯	艹本
蟦	虫十廾貝
賁	十廾貝
贲	十廾贝
逩	辶大十廾
錛	金大十廾
锛	钅大十廾
𡗢	大㐄
𡗲	大斤
𣄏	方厶大田
𣳰	氵木十
𣴞	氵分土
𥢊	禾十廾貝
𦯀	艹分土
𨋒	車厶廾
𩣺	馬大十廾
𩰶	鬲亠{丩}人
𪊜	鹿本
𪎝	广木木本
𪑖	{里}灬大十廾
㑟	亻丘八
㱶	歹士口䒑彡
㷯	火土𡗗𰀁
䋽	糹土土寸
䙀	衤月月
䨻	雨田雨田雨田雨田
䩬	革𡗗𰀁
䭰	禾日𡗗𰀁
䳞	𡗗𰀁鳥
伻	亻平
嗙	口亠丷冖方
嘣	口山月月
埄	土夂丰
埲	土𡗗𰀁
堋	土月月
塴	土山月月
奟	大月月
崩	山月月
嵭	山亠丷冖方
揼	扌石水
泵	石水
琣	𤣩立口
琫	𤣩𡗗𰀁
甏	士口䒑彡瓦
甭	不用
甮	勿用
痭	疒月月
祊	礻方
絣	糹丷开
綳	糹月月
繃	糹山月月
绷	纟月月
菶	艹𡗗𰀁
跰	𧾷丷开
蹦	𧾷山月月
迸	辶丷开
逬	辶丿干丿干
鏰	金山月月
镚	钅山月月
閍	門方
鞛	革立口
𠜳	月月刂
𠡮	月月力
𡎾	土勹月月
𡡈	女山月月
𡶤	山用
𡾛	山鬼丷开
𢆸	𠃊幺幺
𢉁	广月月
𢏳	弓丷开
𢐒	弓山月月
𣂤	月月斤
𣨥	歹月月
𤙾	牜丿干丿干
𤡭	犭士口䒑彡
𤫬	瓜丰
𥖗	士口䒑殳石
𥛱	士口䒑彡示
𥞩	禾丷开
𥦜	宀八月月
𦂌	土土寸糸
𦅈	糹士口䒑彡
𦝷	⺼尸丷开
𦺑	艹立口毛
𧑑	虫艹𡗗𰀁
𧚭	衤丿干丿干
𧩱	訁尸丷开
𧻓	土龰丷开
𨆊	士口䒑支足
𨓁	辶幺幺
𨕧	辶幺幺开
𨹹	⻖月月
𨻱	⻖山月月
𩂦	雨丷开
𩊌	革立
𩑚	丰頁
𩗴	風𡗗𰀁
𪔑	士口䒑支石
㓖	冫田艹𰀁
㗉	丰刀夂口
㗊	口口口口
㘠	囗必
㘩	土匕匕
㙄	土匕匕土
㚕	大弗
㚰	女丕
㠲	巾匕
㡀	⺌冂小
㡙	巾丿囗㐅匕匕
㢰	弓皮
㢶	弓百
㢸	弓弓攵
㧙	扌必
㪏	{卑上}十⺊又
㪤	田艹𰀁攵
㮰	木丿囗㐅匕匕
㮿	木田艹𰀁
㯇	木非土
㱸	歹尸口辛
㳼	戈口{一}水
㵥	氵宀必皿
㵨	尸口辛水
㹃	非牛
㻫	𤣩田艹𰀁
㻶	𤣩竹聿
㿫	匕匕皮
䀣	目必
䁹	目尸口辛
䃾	礻匕匕
䄶	禾弗
䇷	竹口力刂
䉾	北米
䊧	米弗貝
䋔	糹丕
䌟	糹尸口辛
䎵	耳必
䏢	⺼皮
䏶	⺼匕匕土
䕗	艹自田丌
䖩	虫必
䘡	匕匕衣
䟆	土龰田艹𰀁
䟤	𧾷必
䠋	𧾷{卑上}十
䣥	酉匕
䦘	門艮
䧗	⻖𠂉日夂
䨆	⺌冂小攵亻{隹右}
䩛	革必
䪐	𫝀口㐄必
䫁	自頁
䫾	風必
䬛	風田艹𰀁
䭮	E𠫔彡丷一自
䮡	馬𠂉日夂
䯗	冎⺼匕匕土
䵄	來{夊}曲一口䒑
佊	亻皮
佖	亻必
佛	亻弗
俾	亻{卑上}十
偪	亻{一}口田
匕	丿乚
吡	口匕匕
咇	口必
哔	口匕匕十
啚	口亠囗口
嗶	口田艹𰀁
坒	匕匕土
堛	土{一}口田
壁	尸口辛土
夶	大大
奰	罒罒罒大
妣	女匕匕
妼	女必
娝	女不口
婢	女{卑上}十
嬖	尸口辛女
嬶	女自田丌
屄	尸宀八
崥	山{卑上}十
币	丿巾
幣	⺌冂小攵巾
幤	⺌冂口攵巾
庇	广匕匕
廦	广尸口辛
弊	⺌冂小攵廾
弻	弓弓㐁
弼	弓弓百
彃	弓田艹𰀁
彼	彳皮
必	心丿
怭	忄必
怶	忄皮
愊	忄{一}口田
愎	忄𠂉日夂
拂	扌弗
敝	⺌冂小攵
