a	a art.一;字母A
accent	accent n.重音;口音 vt.重读;强调
accentual	accentual a.重音的;有抑扬的
accentuate	accentuate vt.以重音念;强调;重读
accentuation	accentuation n.重读;加重音符号;强调
accentuator	accentuator n.强调器
accept	accept vt.接受;相信;承兑 vi.同意;承兑
acceptability	acceptability n.可接受;承认;合意
acceptable	acceptable a.可接受的;合意的;合适的
acceptably	acceptably ad.可欣然接受地;可承诺地;能合人意地
acceptance	acceptance n.接受;容纳;承诺
acceptation	acceptation n.公认的意义;词义
accepted	accepted a.一般承认的;公认的
accepting	accepting ing.接受
acceptor	acceptor n.受主;承兑人;接受器
access	access n.通路;进入;使用权;发作 n.访问
accessary	accessary a.附属的;附带的;从犯的 n.同谋;从犯;附件
accessibility	accessibility n.易接近;可进入
accessible	accessible a.易接近的;可进入的;易受影响的;可理解的
accessibly	accessibly ad.可接近地;可亲地;通达情理地
accession	accession n.到达;即位;增加;同意 vt.登记入册
accessories	accessories n.附属品
accessorily	accessorily ad.附从地;附属地
accessory	accessory n.附件;同谋 a.附属的;同谋的
accidence	accidence n.词法
accident	accident n.意外事件;机遇;事故
accidental	accidental a.意外的;偶然的 n.非本质属性
accidentally	accidentally ad.偶然地;意外地
accidents will happen in the best regulated family	accidents will happen in the best regulated family pr.家规再严;丑事难免
accidents will happen in the best regulated famil	accidents will happen in the best regulated famil pr.家规再严;丑事难免
accipitral	accipitral a.鹰的;鹰似的;贪婪的
acclaim	acclaim n.喝彩;欢呼;赞同 vt.vi.欢呼;喝彩;称赞
acclamation	acclamation n.欢呼;称赞;喝彩
acclimate	acclimate vt.使适应新环境;使服水土 vi.服水土
acclimation	acclimation n.服水土;顺应;适应环境
acclimatization	acclimatization n.服水土;顺应;适应环境
acclimatize	acclimatize vt.使适应新环境;使服水土 vi.服水土
acclimatize oneself to	acclimatize oneself to v.适应
acclivitous	acclivitous a.倾斜的
acclivity	acclivity n.向上的斜坡
accolade	accolade n.武士爵位的授予;连谱号
accommodate	accommodate vt.使适应;调节;和解;容纳 vi.适应
accommodating	accommodating a.亲切的;肯通融的;殷勤的
accommodation	accommodation n.适应;调解;膳宿;贷款
accommodative	accommodative a.适应的;予以方便的;亲切的
accommodator	accommodator n.适应者;调停者;通融者
accompaniment	accompaniment n.自然的伴随物;陪伴物;伴奏
accompanist	accompanist n.伴奏者
accompany	accompany vt.陪伴;带有;为...伴奏 vi.伴奏
accompanying	accompanying adj.伴随的
accomplice	accomplice n.共犯;同谋
accomplish	accomplish vt.完成
accomplished	accomplished a.完成的;实现的;善社交的;有造诣的
accomplishment	accomplishment n.成就;完成
accomplishments	accomplishments n.造诣
accord	accord n.一致;调和;协定 vt.一致;给与 vi.符合
accord with	accord with v.符合;一致
accordance	accordance n.一致;和谐
accordant	accordant a.一致的;符合的;调和的
according	according ad.根据
accordingly	accordingly ad.因此;于是;如前所说;相应地
accordion	accordion n.手风琴 a.可折叠的
accordionist	accordionist n.手风琴师
accost	accost vt.招呼;搭讪;勾引
accouchement	accouchement n.分娩;生产
account	account n.帐目;报告;估计;原因;利润;算账;记录 vi.解释;认为;占;解决;得分;杀死 vt.认为
accountability	accountability n.有责任;有义务
accountable	accountable a.有责任的;可说明的;可解释的
accountably	accountably ad.可辩解地;可说明地
accountancy	accountancy n.会计师之职
accountant	accountant n.会计员;会计师
accounted	accounted pp.计算
accounting	accounting n.会计学;清算帐目
accouter	accouter vt.供以服装;供以军用品;装备
accoutrements	accoutrements n.军人的配备;服装
accouterments	accouterments n.军人的配备;服装
accoutre	accoutre vt.供以服装;供以军用品;装备
accredit	accredit vt.信任;授权;归于;委任
accreditation	accreditation n.委派;信赖
accredited director	accredited director n.委任代表
accrete	accrete vi.共生;合生;附着 a.共生的
accretion	accretion n.增大;添加;添加物
accrual	accrual n.获利;收益;利息
accrue	accrue vi.自然增加;生
accrued	accrued adj.应计的
acculturation	acculturation n.文化传入;文化适应
accumbent	accumbent a.横卧的
accumulate	accumulate vt.vi.积聚;堆积
accumulated	accumulated adj.累积的
accumulation	accumulation n.积聚;累积;积聚物
accumulative	accumulative a.积聚的;累积的
accumulator	accumulator n.积聚者;蓄能器;蓄电池
accuracy	accuracy n.精确;正确
accurate	accurate a.正确的;精确的
accurately	accurately ad.正确地;精确地
accursed	accursed a.被咒的;充满憎恨的;讨厌的
accurst	accurst a.被咒的;充满憎恨的;讨厌的
accusant	accusant n.控诉者
accusation	accusation n.控告;指控;非难
accusative	accusative a.直接受格的 n.宾格
accusatorial	accusatorial a.控告者的;责问的
accusatory	accusatory a.非难的;问罪的;控诉的
accuse	accuse vt.责备;控告;谴责
accused	accused n.被告
accuser	accuser n.原告;控诉者;非难者
accusing	accusing a.责难的;问罪的;归罪的
accustom	accustom vt.使习惯
accustomed	accustomed a.习惯了的
ace	ace n.幺点;好手;高手;少许 a.一流的;卓越的
acerb	acerb a.酸涩的;尖锐的;刻薄的
acerbate	acerbate vt.使发怒;使烦恼 a.恼怒的
acerbic	acerbic a.酸的;尖刻的
acerbity	acerbity n.涩;酸;刻薄
acerose	acerose a.针状的
acetal	acetal n.乙缩醛
acetanilide	acetanilide n.止痛;退热剂
acetate	acetate n.醋酸盐
acetic	acetic a.醋的;酸的
acetification	acetification n.使变成醋;醋化
acetone	acetone n.丙酮
acetous	acetous a.醋的;酸的
acetylcholine	acetylcholine n.醋胆素
acetylene	acetylene n.乙炔;电石气
acetylenelamp	acetylenelamp n.电石灯
achaea	achaea n.阿凯亚
ache	ache n.痛 vi.痛;渴望
achene	achene n.瘦果
acheron	acheron n.阿克伦河;阴间;黄泉
achievability	achievability n.成就感
achievable	achievable a.做得成的;可完成的;可有成就的
achieve	achieve vt.完成
achievement	achievement n.成就;完成;功业
achievements	achievements n.成就
Achilles	Achilles n.阿基里斯
Achilles' heel	Achilles' heel n.唯一致命的弱点
aching	aching a.痛的;疼痛的;心痛的
achromatic	achromatic a.消色差的;非彩色的
acia	acia n.异步通信接口适配器
acid	acid n.酸;酸类物质 a.酸的;酸性的;讽刺的
acidhead	acidhead n.LSD常用者
acidic	acidic a.产生酸的
acidification	acidification n.使发酸;酸化;成酸性
acidify	acidify vt.使变酸;使成酸;变酸
acidifying	acidifying adj.酸化的
acidity	acidity n.酸味;酸性
acidly	acidly ad.不和悦地;心地不良地
acidness	acidness n.不和悦的样子
acidoid	acidoid a.似酸的 n.可能变酸的物质
acidosis	acidosis n.酸液过多症;酸毒症
acids	acids n.酸类
acidulate	acidulate n.酸化
acidulated	acidulated a.带酸味的;不和悦的
acidulating	acidulating adj.酸化的
acidulous	acidulous a.多少带酸味的;不和悦的;尖刻的
acidum	acidum n.酸
ackemma	ackemma n.上午;飞机修理工
acknowledge	acknowledge vt.承认;答谢;认知
acknowledge the corn	acknowledge the corn v.认错;认输
acknowledged	acknowledged a.公认的
acknowledgement	acknowledgement n.承认;确认;感谢;收到的通知
acknowledging	acknowledging adj.确认
acknowledgment	acknowledgment n.承认;承认书;感谢
acm	acm n.计算机协会(美国)
acme	acme n.顶点;极致
acne	acne n.痤疮;粉刺
acock	acock ad.边反卷地
acolyte	acolyte n.侍僧;助手
aconite	aconite n.乌头;从乌头的根所提炼的强心止痛剂
acorn	acorn n.橡实;橡子
acoustic	acoustic a.听觉的;声学的;音响学的
acoustical	acoustical a.听觉的;声学的
acoustician	acoustician n.声学家
acoustics	acoustics n.音响学;音响效果;声学
acquaint	acquaint vt.使熟知;通知
acquaintance	acquaintance n.相识者;熟悉
acquaintanceship	acquaintanceship n.相识;相熟;认识
acquiesce	acquiesce vi.默许;勉强同意
acquiescence	acquiescence n.默许;默认;无可奈何的同意
acquiescent	acquiescent a.默许的;默认的;默从的
acquire	acquire vt.获得;学到
acquired	acquired a.已取得的;已获得的;已成习惯的;后天的
acquisition	acquisition n.获得;添加物品
acquisitive	acquisitive a.想获得的;贪得的
acquit	acquit vt.开释;释放;完成;表现
acquittal	acquittal n.履行;开释;释放
acquittance	acquittance n.解除;偿清;清还证明书
acre	acre n.英亩
acreage	acreage n.英亩数;面积
acrid	acrid a.苦味的;辛辣的;尖刻的
acridity	acridity n.辛辣;狠毒
acrimonious	acrimonious a.严厉的;辛辣的;刻毒的
acrimony	acrimony n.严厉;辛辣;刻毒
acrobat	acrobat n.表演特技者;杂技演员
acrobatic	acrobatic a.特技表演的;惊险表演的
acrobatics	acrobatics n.特技;杂技
acrolith	acrolith n.石首石肢木身的雕像
acromegalic	acromegalic a.患者的
acromegaly	acromegaly n.前端肥大症
acronym	acronym n.缩写字;字头语
acrophobia	acrophobia n.恐高症
acropolis	acropolis n.城堡;雅典的卫城
across	across ad.横过;交叉;另一边 prep.横过;交叉
acrostic	acrostic n.离合诗 a.离合诗的
acrylic	acrylic a.丙烯酸的
act	act n.行为;幕;法案;动作 vi.行动;表演;尽职责;假装 vt.扮演;装作;下判决
act up to one's opinions	act up to one's opinions v.照自己主意做事
actin	actin n.肌动蛋白
acting	acting n.演戏;行为;假装 a.代理的;临时的;演出用的
actinic	actinic a.光化学的
actinism	actinism n.光化度
actinium	actinium n.锕
action	action n.动作;作用;战斗控告;行为;诉讼
actionable	actionable a.可起诉的;可控告的
activate	activate vt.刺激;使活动;创设
activated	activated adj.活性的
activating	activating vbl.使活动
activation	activation n.使活动;使活跃;使催化;激活
activator	activator n.使活跃之物;催化剂;触媒剂
active	active a.活跃的;积极的;有效的;主动的;活性的;现行的;现役的 a.活动的
actively	actively ad.活跃地;积极地
activism	activism n.实践主义;能动主义
activist	activist n.活跃分子
activity	activity n.活动;动作;活力
actiyator	actiyator n.调速控制器
actor	actor n.演员;优伶;行动者
actress	actress n.女演员
actual	actual a.真实的;实际的
actuality	actuality n.实在;现实;现状
actualization	actualization n.实现;现实化
actualize	actualize vt.实现;实行;实施
actually	actually ad.事实上;如今;现在
actuarial	actuarial a.保险统计师的;保险统计的
actuary	actuary n.保险统计师;公证人
actuate	actuate vt.开动;促使;激励
actuation	actuation n.使活动;刺激;冲动
actuator	actuator n.主动器
acuity	acuity n.敏锐;激烈;苛刻
acumen	acumen n.敏锐;聪明
acupuncture	acupuncture n.针灸;针治 vt.施以针灸
acute	acute a.敏锐的;激烈的;尖锐的;严重的
acutely	acutely ad.尖锐地;剧烈地
acuteness	acuteness n.锐利;敏锐;剧烈
ad	ad n.广告
adage	adage n.古话;格言;谚语
adagio	adagio ad.缓慢地 a.缓慢的 n.柔板
Adam	Adam n.亚当
adam's wine	adam's wine n.水
adamant	adamant n.坚硬的东西 a.非常坚硬的
adamantine	adamantine a.非常坚硬的;坚定不移 n.金刚合金
adamite	adamite n.Adam的后裔;人;裸体的人
adapt	adapt vt.使适应;改编 vi.适应
adaptability	adaptability n.适应性
adaptable	adaptable a.能适应的;可修改的
adaptation	adaptation n.改编;适应;改编成的作品
adapted	adapted a.适合的
adapter	adapter n.适配器;改编者 n.适配器
adaption	adaption n.适应
adaptive	adaptive a.适合的;适应的;能适应的
adaxial	adaxial a.近轴的
add	add vt.增加 vi.增添;做加法
add-on	add-on adj.附加
addax	addax n.曲角羚羊
added	added pp.加
addenda	addenda n.pl.附录;附加物
addendum	addendum n.附录;附加物
adder	adder n.欧洲产的小毒蛇;北美产的无毒小蛇;加法器
addible	addible a.可添加的
addict	addict vt.使沉溺;使上瘾 n.上瘾者
addicted	addicted adj.痴迷
addiction	addiction n.沉溺;上瘾
addictive	addictive a.上瘾的
adding	adding vbl.增加;加;添
adding machine	adding machine n.计算机
addition	addition n.附加;增加;加法
additional	additional a.附加的;另外的
additive	additive a.添加的 n.添加物;加法
additives	additives n.添加物
addle	addle vt.使腐坏;使混乱 vi.变坏 a.腐坏的;混乱的
address	address n.住址;演说;灵巧;求爱 vt.发表;写地址
addressable	addressable a.可设定位址的
addressed	addressed pp.编址
addressee	addressee n.收件人;受信人
addresser	addresser n.攀谈的人;说话者;发言人
addressograph	addressograph n.印名片机
adduce	adduce vt.引证;举出
adducible	adducible a.可以引用的;可以举出的
adduct	adduct vt.使内收
adduction	adduction n.引用;内收
adductor	adductor n.内转肌
adenine	adenine n.存于内脏等的动物组织中的盐基
adenoids	adenoids n.腺状肿大;扁桃腺肥大
adenosine	adenosine n.腺苷
adept	adept a.熟练的;老练的 n.名手;专家
adequacy	adequacy n.适当;足够
adequate	adequate a.适当的;足够的
adequately	adequately ad.足够地;充分地;适当地
adhere	adhere vi.依附;粘着;坚持;
adherence	adherence n.依附;固执
adherent	adherent a.附着的;固守的 n.党徒
adhering	adhering ing.黏著
adhesion	adhesion n.附着;粘着;固守;支持
adhesive	adhesive a.粘着的;有粘性的 n.粘剂
adiabatic	adiabatic a.绝热的;隔热的
adieu	adieu int.再见;再会 n.告别;辞别
adieux	adieux n.pl.告别;辞别
adipose	adipose a.脂肪的 n.脂肪
adiposity	adiposity n.脂肪过多;肥胖
adit	adit n.入口;横坑
adjacency	adjacency n.邻接;邻接物;傍边
adjacent	adjacent a.毗连的;邻近的;接近的
adjectival	adjectival a.形容词的
adjective	adjective n.形容词 a.形容词的;辅助的
adjoin	adjoin vt.vi.邻接;毗连
adjoining	adjoining a.邻接的;隔壁的
adjourn	adjourn vi.延期;休会;换地方 vt.使中止
adjournment	adjournment n.延期;休会;休会期间
adjudge	adjudge vt.宣判;判决;裁定给与
adjudicate	adjudicate vt.vi.判决;宣判;裁定
adjudication	adjudication n.判决;裁定;破产宣告
adjudicative	adjudicative a.判决的
adjudicator	adjudicator n.评判员
adjunct	adjunct n.附属物;附件;修饰语 a.附属的
adjunctive	adjunctive a.附属的
adjuration	adjuration n.严令;恳请;请愿
adjure	adjure vt.起誓;恳请;恳求
adjust	adjust vt.调整;使适应于;校准 vi.调整;适应于;校准
adjustable	adjustable a.可调整的
adjusted	adjusted adj.调整了的
adjuster	adjuster n.调整者;调停者;调节器
adjusting	adjusting ing.调整
adjustment	adjustment n.调整;调节;校正
adjustor	adjustor n.调整者;调停者;调节器
adjutancy	adjutancy n.副官职
adjutant	adjutant n.助手;副官 a.辅助的
adman	adman n.广告部门职员;拉广告者
admeasure	admeasure n.分配;配给
adminicle	adminicle n.辅助物;副证;补充证据
administer	administer vt.管理;治理;执行 vi.管理;有助于
administrative	administrative adj.行政的
administerative	administerative adj.行政的
administrate	administrate vt.管理;支配
administration	administration n.行政;管理;中央政府
administrative law	administrative law n.行政法
administrator	administrator n.管理人;行政官
administratrix	administratrix n.女管理人;女遗产管理人
admirable	admirable a.可钦佩的;优良的;令人惊奇的
admirably	admirably ad.极好地;美好地
admiral	admiral n.舰队司令;海军上将;旗舰
admiralship	admiralship n.admiral之职
admiralty	admiralty n.海军上将的地位或职权;海军部;海事法
admiration	admiration n.赞赏;钦佩;赞赏的对象
admire	admire vt.赞美;钦佩;喜欢;爱慕
admirer	admirer n.钦佩者;仰慕者;求爱者
admiring	admiring a.赞赏的;钦佩的;羡慕的
admiringly	admiringly ad.钦佩地;羡慕地
admissibility	admissibility n.有入场的资格;可容许
admissible	admissible a.可容许的;可准予就任的
admission	admission n.许可;入会费;承认
admissive	admissive a.入场许可的;入场的;认可的
admit	admit vt.允许进入;承认;接纳;容纳 vi.容许有;开向;承认
admittance	admittance n.入场;入场权;准入
admitted	admitted a.被承认了的;公认的
admittedly	admittedly ad.公认地;显然
admix	admix vt.使混合 vi.混合
admixing	admixing adj.混合的
admixture	admixture n.混合;混合物
admonish	admonish vt.劝告;训诫;告诫
admonition	admonition n.警告;劝告;训诫
admonitory	admonitory a.警告的;劝告的;训诫的
ado	ado n.费力;骚扰;无谓的纷扰
adobe	adobe n.砖坯
adolescence	adolescence n.青春期
adolescent	adolescent a.青春期的;青年的 n.青少年
Adonis	Adonis n.阿多尼斯;美少年;小白脸
adopt	adopt vt.采用;收养;接受
adoptable	adoptable a.可采用的;可收养的
adopted	adopted a.被收养的;被采用的
adoption	adoption n.采用;采纳;收养
adoptive	adoptive a.收养关系的;采用的
adorable	adorable a.可崇拜的;值得敬慕的;可爱的
adorably	adorably ad.可崇敬地;美妙地;可爱地
adoration	adoration n.崇拜;爱慕
adore	adore vt.崇拜;爱慕;喜爱
adorer	adorer n.爱慕者;崇拜者
adoring	adoring a.崇拜的;敬慕的
adorn	adorn vt.装饰;佩戴
adornment	adornment n.装饰;装饰品
adown	adown ad.prep.向下;朝下
adrenal	adrenal a.肾上腺的; n.肾上腺
adrenalin	adrenalin n.肾上腺素
adrenocorticotropic	adrenocorticotropic n.促肾上腺皮质激素
adrenocorticotro	adrenocorticotro n.促肾上腺皮质激素
Adriatic	Adriatic a.亚得里亚海的
adrift	adrift ad.漂流地 a.漂泊的
adroit	adroit a.熟练的;敏捷的
adroitly	adroitly ad.熟练地;敏捷地
ads	ads n.广告
adsmith	adsmith n.撰写广告字的人
adsorb	adsorb vt.吸附
adsorption	adsorption n.吸附
adsorptive	adsorptive a.吸附的
adsum	adsum vi.到;有
adulate	adulate vt.谄媚;奉承
adulation	adulation n.谄媚;奉承;阿谀
adulator	adulator n.好奉承的人
adulatory	adulatory a.谄媚的;奉承的;阿谀的
adult	adult n.成人;成虫 a.成人的;成熟的
adulterant	adulterant a.掺杂用的 n.掺杂物
adulterate	adulterate vt.掺杂 a.掺假的
adulterating	adulterating adj.搀加的
adulteration	adulteration n.掺杂;掺假的东西;冒充货
adulterer	adulterer n.奸夫
adulteress	adulteress n.奸妇
adulterous	adulterous a.通奸的;不贞的
adultery	adultery n.通奸
adulthood	adulthood n.成人期
adumbral	adumbral a.遮阳的
adumbrate	adumbrate vt.画轮廓;预示
adumbration	adumbration n.轮廓;预示;阴影
adumbrative	adumbrative a.暗示的;预示的
adurol	adurol n.显影剂一种
adust	adust a.烤干的;阴沉的
advance	advance n.前进;进步;进步的例子 vi.前进;增加;上涨 vt.促进;提出;提高;预付
