啊	娿
荤	荤
昏	涽
婚	殙
魂	魂
浑	渾
混	婫
豁	豁
活	萿
伙	钬
火	焱
获	镬
或	戓
惑	惑
霍	靃
货	貨
祸	禍
击	击
圾	圾
基	樭
机	僟
畸	畸
稽	稽
积	積
箕	箕
肌	肌
饥	饥
迹	迹
激	噭
讥	讥
鸡	鶏
姬	姬
绩	绩
缉	缉
吉	咭
极	极
棘	棘
辑	辑
籍	籍
集	潗
及	彶
急	喼
疾	疾
汲	汲
即	旣
嫉	嫉
级	级
挤	哜
几	凢
脊	脊
己	己
蓟	蓟
技	技
冀	冀
季	悸
伎	伎
祭	祭
剂	剂
悸	悸
济	哜
寄	寄
寂	寂
计	計
记	汜
既	旣
忌	忌
际	漈
继	继
纪	汜
嘉	嘉
枷	枷
夹	夾
佳	佳
家	傢
加	咖
荚	荚
颊	颊
贾	贾
甲	曱
钾	钾
假	徦
稼	糘
价	價
架	泇
驾	駕
嫁	糘
歼	姧
监	盬
坚	堅
尖	尖
笺	笺
间	簡
煎	煎
兼	凲
肩	肩
艰	艰
奸	奷
缄	缄
茧	茧
检	撿
柬	柬
碱	碱
硷	硷
拣	拣
捡	撿
简	彅
俭	倹
剪	彅
减	諴
荐	薦
槛	槛
鉴	鉴
践	践
贱	濺
见	見
键	楗
箭	箭
件	件
健	揵
舰	舰
剑	劍
饯	饯
渐	渐
溅	溅
涧	涧
建	踺
僵	壃
姜	葁
将	將
浆	槳
江	茳
疆	彊
蒋	蔣
桨	桨
奖	奨
讲	講
匠	匠
酱	醬
降	夅
蕉	蕉
椒	椒
礁	礁
焦	潐
胶	烄
交	茭
郊	郊
浇	浇
骄	嬌
娇	嬌
嚼	嚼
搅	搅
铰	铰
矫	矫
侥	侥
脚	腳
狡	烄
角	角
饺	饺
缴	儌
绞	烄
剿	剿
教	嘋
酵	酵
轿	轿
较	珓
叫	嘂
窖	窖
揭	揭
接	帹
皆	湝
秸	秸
街	街
阶	阶
截	截
劫	劫
节	兯
茎	莖
睛	聙
晶	瞐
鲸	鯨
京	倞
惊	驚
精	棈
粳	粳
经	經
井	丼
警	檠
景	憬
颈	頸
静	靜
境	璄
敬	擏
镜	傹
径	徑
痉	痉
靖	靖
竟	獍
竞	競
净	凈
炯	泂
窘	僒
揪	啾
究	究
纠	糾
玖	玖
韭	韭
久	玖
灸	灸
九	勼
酒	氿
厩	厩
救	慦
旧	舊
臼	臼
舅	舅
咎	咎
就	僦
疚	咎
鞠	鞠
拘	佝
狙	狙
疽	疽
居	劇
驹	驹
菊	匊
局	挶
咀	咀
矩	怇
举	舉
沮	沮
聚	藂
拒	岠
据	琚
巨	姖
具	倶
距	岠
踞	踞
锯	涺
俱	倶
句	呴
惧	惧
炬	岠
剧	涺
捐	涓
鹃	鵑
娟	涓
倦	惓
眷	眷
卷	捲
绢	涓
撅	瘚
攫	攫
抉	決
掘	崛
倔	崛
爵	嚼
桔	桔
杰	傑
捷	啑
睫	睫
竭	竭
洁	洁
结	結
解	解
姐	姐
戒	悈
藉	藉
芥	芥
界	鎅
借	徣
介	夰
疥	疥
诫	诫
届	屆
巾	凧
筋	荕
斤	釿
金	唫
今	妗
津	珒
襟	噤
紧	緊
锦	婂
仅	僅
谨	殣
进	琎
靳	靳
晋	晉
禁	噤
近	菦
烬	烬
浸	锓
尽	浕
劲	勁
荆	荊
兢	兢
觉	覺
决	吷
诀	吷
绝	蕝
均	汮
菌	箘
钧	呁
军	軍
君	焄
峻	浚
俊	浚
竣	浚
浚	浚
郡	郡
骏	浚
喀	喀
咖	咖
卡	鉲
咯	咯
开	閞
揩	揩
楷	揩
凯	剀
慨	慨
刊	刋
堪	堪
勘	勘
坎	坎
砍	歃
看	看
康	嫝
慷	嵻
糠	嵻
扛	摃
抗	忼
亢	囥
炕	忼
考	栲
拷	洘
烤	栲
靠	靠
坷	坷
苛	岢
柯	柯
棵	錁
磕	溘
颗	錁
科	萪
壳	涜
咳	嗑
可	妸
渴	渇
克	尅
刻	尅
客	愙
课	錁
肯	肻
啃	肻
垦	恳
恳	垦
坑	妔
吭	妔
空	涳
恐	恐
孔	芤
控	啌
抠	摳
口	囗
扣	釦
寇	簆
枯	喖
哭	哭
窟	崫
苦	楛
酷	酷
库	厙
裤	褲
夸	洿
垮	垮
挎	挎
跨	跨
胯	胯
块	赽
筷	筷
侩	侩
快	赽
宽	寬
款	窾
匡	匡
筐	筺
狂	誑
框	框
矿	纩
眶	洭
旷	纩
况	況
亏	扝
盔	盔
岿	岿
窥	窺
葵	葵
奎	喹
魁	魁
傀	傀
馈	潰
愧	隗
溃	潰
坤	堒
昆	崐
捆	涃
困	涃
括	葀
扩	拡
廓	霩
阔	闊
垃	柆
拉	菈
喇	喇
蜡	臘
腊	臘
辣	辣
啦	菈
莱	莱
来	唻
赖	攋
蓝	藍
婪	漤
栏	孄
拦	拦
篮	藍
阑	阑
兰	蘭
澜	瀾
谰	谰
揽	灠
览	灠
懒	攋
缆	灠
烂	灡
滥	嚂
琅	哴
榔	蓈
狼	哴
廊	蓢
郎	蓢
朗	蓢
浪	烺
捞	崂
劳	崂
牢	窂
老	荖
佬	佬
姥	粩
酪	絡
烙	絡
涝	崂
勒	嘞
乐	泺
雷	檑
镭	檑
蕾	檑
磊	藞
累	蔂
儡	儡
垒	垒
擂	檑
肋	叻
类	類
泪	汨
棱	棱
楞	楞
冷	唥
厘	厘
梨	悡
犁	犁
黎	黎
篱	篱
狸	狸
离	蓠
漓	漓
理	理
李	李
里	里
鲤	鲤
礼	礼
莉	莉
荔	荔
吏	吏
栗	栗
丽	婯
厉	疠
励	励
砾	砾
历	呖
利	悡
傈	傈
例	唎
俐	俐
痢	痢
立	竝
粒	粒
沥	沥
隶	隶
力	劦
璃	璃
哩	哩
俩	唡
联	聅
莲	嗹
连	涟
镰	镰
廉	廉
怜	憐
涟	涟
帘	帘
敛	潋
脸	臉
链	嗹
恋	戀
炼	煉
练	煉
粮	悢
凉	涼
梁	樑
粱	粱
良	悢
两	倆
辆	唡
量	糧
晾	涼
亮	煷
谅	涼
撩	嫽
聊	窷
僚	獠
疗	療
燎	獠
寥	寥
辽	辽
潦	潦
了	孒
撂	撂
镣	镣
廖	漻
料	料
列	烮
裂	煭
烈	烮
劣	挘
猎	獵
琳	啉
林	啉
磷	潾
霖	霖
临	臨
邻	鄰
鳞	潾
淋	啉
凛	凛
赁	賃
吝	悋
拎	柃
玲	玪
菱	夌
零	蕶
龄	齡
铃	玪
伶	伶
羚	玪
凌	夌
灵	靈
陵	夌
岭	玪
领	領
另	叧
令	泠
溜	媹
琉	琉
榴	媹
硫	硫
馏	馏
留	畱
刘	嚠
瘤	媹
流	蓅
柳	栁
六	陸
龙	瀧
聋	聾
咙	茏
笼	茏
窿	窿
隆	湰
垄	泷
拢	泷
陇	茏
楼	溇
娄	溇
搂	嵝
篓	溇
漏	屚
陋	陋
芦	廬
卢	盧
颅	颅
庐	廬
炉	爐
掳	掳
卤	卤
虏	虏
鲁	噜
麓	麓
碌	碌
露	蕗
路	蕗
赂	赂
鹿	蔍
潞	潞
禄	禄
录	淥
陆	陸
戮	戮
驴	馿
吕	焒
铝	焒
侣	佀
旅	膂
履	履
屡	屢
缕	缕
虑	慮
氯	氯
律	侓
率	卛
滤	慮
绿	淥
峦	欒
挛	孌
孪	孿
滦	滦
卵	卵
乱	亂
掠	稤
略	畧
抡	囵
轮	囵
伦	囵
仑	仑
沦	囵
纶	纶
论	囵
萝	囉
螺	螺
罗	囉
逻	羅
锣	囉
箩	儸
骡	骡
裸	裸
落	落
洛	詻
骆	詻
络	絡
妈	媽
麻	嫲
玛	犸
码	犸
蚂	犸
马	骉
骂	罵
嘛	嫲
吗	嬤
埋	埋
买	荬
麦	麥
卖	賣
迈	邁
脉	霡
瞒	慲
馒	獌
蛮	蠻
满	慲
蔓	嫚
曼	嫚
慢	嫚
漫	嫚
谩	谩
芒	笀
茫	汒
盲	吂
氓	氓
忙	杧
莽	漭
猫	貓
茅	罞
锚	锚
毛	毝
矛	罞
铆	铆
卯	茆
茂	茂
冒	萺
帽	萺
貌	邈
贸	貿
么	庅
玫	坆
枚	枚
梅	烸
酶	酶
霉	苺
煤	湈
没	莈
眉	葿
媒	媒
镁	镁
每	烸
美	羙
昧	昧
寐	寐
妹	妺
媚	媚
门	閄
闷	悶
们	們
萌	萠
蒙	懞
檬	檬
盟	擝
锰	锰
猛	掹
梦	夢
孟	掹
眯	侎
醚	醚
靡	靡
糜	糜
迷	洣
谜	洣
弥	弥
米	洣
秘	秘
觅	觅
泌	泌
蜜	滵
密	滵
幂	幂
棉	婂
眠	眠
绵	婂
冕	冕
免	凂
勉	勉
娩	娩
缅	缅
面	媔
苗	媌
描	媌
瞄	媌
藐	邈
秒	仯
渺	緲
庙	庿
妙	仯
蔑	篾
灭	搣
民	姄
抿	抿
皿	皿
敏	勄
悯	悯
闽	閩
明	眀
螟	螟
鸣	嘄
铭	佲
名	洺
命	掵
谬	繆
摸	嗼
摹	摹
蘑	嚤
模	嗼
膜	嗼
磨	嚤
摩	嚤
魔	嚤
抹	沬
末	沬
莫	嗼
墨	嚜
默	默
沫	沬
漠	嗼
寞	寞
陌	帞
谋	湈
牟	哞
某	湈
拇	拇
牡	牡
亩	畝
姆	姆
母	毋
墓	募
暮	暮
幕	募
募	募
慕	慕
木	朩
目	朩
睦	睦
牧	牧
穆	穆
拿	嗱
哪	哪
呐	妠
钠	妠
那	哪
娜	哪
纳	妠
氖	氖
乃	釢
奶	艿
耐	恧
奈	柰
南	遖
男	莮
难	難
囊	灢
挠	撓
脑	悩
恼	悩
闹	閙
淖	淖
呢	迡
馁	浽
内	禸
嫩	嫰
能	能
妮	妮
霓	霓
倪	淣
泥	狔
尼	胒
拟	抳
你	沵
匿	嫟
腻	膩
逆	屰
溺	溺
蔫	蔫
拈	秥
年	姩
碾	碾
撵	撵
捻	捻
念	淰
娘	娘
酿	酿
鸟	茑
尿	杘
捏	涅
聂	嗫
孽	糵
啮	啮
镊	嗫
镍	镍
涅	涅
您	您
柠	柠
狞	狞
凝	凝
宁	苧
拧	拧
泞	泞
牛	犇
扭	沑
钮	妞
纽	狃
脓	哝
浓	哝
农	哝
弄	挵
奴	伮
努	怓
怒	伮
女	囡
暖	煖
虐	疟
疟	疟
挪	挪
懦	穤
糯	穤
诺	喏
哦	呃
欧	瓯
鸥	瓯
殴	瓯
藕	耦
呕	嘔
偶	耦
沤	沤
啪	啪
趴	汃
爬	瓟
帕	啪
怕	啪
琶	琶
拍	啪
排	棑
牌	簰
徘	棑
湃	湃
派	哌
攀	襻
潘	瀋
盘	盤
磐	磐
盼	昐
畔	溿
判	叛
叛	判
乓	乓
庞	厐
旁	臱
耪	耪
胖	眫
抛	拋
咆	垉
刨	铇
炮	垉
袍	垉
跑	垉
泡	垉
呸	怌
胚	胚
培	掊
裴	裴
赔	婄
陪	婄
配	蓜
佩	姵
沛	沛
喷	濆
盆	湓
砰	泙
抨	抨
烹	烹
澎	澎
彭	憉
蓬	莑
棚	堋
硼	硼
篷	篷
膨	膨
朋	萠
鹏	鵬
捧	唪
碰	湴
坯	坯
砒	砒
霹	噼
批	纰
披	怶
劈	噼
琵	琵
毗	毗
啤	啤
脾	裨
疲	疲
皮	怶
匹	苉
痞	痞
僻	僻
屁	庇
譬	譬
篇	萹
偏	媥
片	爿
骗	騙
飘	彯
漂	慓
瓢	瓢
票	嘌
撇	潎
瞥	潎
拼	拚
频	頻
贫	貧
品	闆
聘	娉
乒	乒
坪	岼
苹	泙
萍	泙
平	岼
凭	憑
瓶	甁
评	评
屏	屛
坡	岥
泼	秡
颇	櫇
婆	嘙
破	岥
魄	魄
迫	廹
粕	粕
剖	剖
扑	圤
铺	舗
仆	圤
莆	莆
葡	匍
菩	箁
蒲	蒲
埔	逋
朴	圤
圃	圃
普	普
浦	浦
谱	鐠
曝	曝
瀑	鑤
期	剘
欺	剘
栖	栖
戚	嘁
妻	悽
七	⑦
凄	凄
漆	漆
柒	柒
沏	沏
其	娸
棋	諆
奇	渏
歧	忮
畦	畦
崎	崎
脐	脐
齐	斉
旗	旗
祈	祈
祁	祁
骑	騏
起	起
岂	豈
乞	阣
企	佱
启	晵
契	契
砌	砌
器	噐
气	氣
迄	迄
弃	棄
汽	汽
泣	淇
讫	讫
掐	拤
洽	洽
牵	撁
扦	扦
钎	钎
铅	鉛
千	芉
迁	迁
签	簽
仟	仟
谦	嗛
乾	墘
黔	黔
钱	錢
钳	钳
前	湔
潜	濳
遣	遣
浅	淺
谴	谴
堑	堑
嵌	嵌
欠	芡
歉	嗛
枪	熗
呛	濸
腔	腔
羌	羌
墙	嫱
蔷	嫱
强	強
抢	熗
橇	橇
锹	锹
敲	毃
悄	佾
桥	喬
瞧	趭
乔	喬
侨	喬
巧	巧
鞘	鞘
撬	毳
翘	趬
峭	峭
俏	佾
窍	竅
切	苆
茄	苆
且	苴
怯	愜
窃	苆
钦	钦
侵	埐
亲	儭
秦	蓁
琴	噖
勤	懄
芹	芹
擒	檎
禽	噙
寝	寑
沁	沁
青	圊
轻	輕
氢	氢
倾	傾
卿	卿
清	凊
擎	擎
晴	啨
氰	氰
情	凊
顷	頃
请	埥
庆	庆
琼	琼
穷	窮
秋	偢
丘	坵
邱	邱
球	浗
求	浗
囚	囚
酋	媨
泅	泅
趋	趋
区	岖
蛆	蛆
曲	浀
躯	軀
屈	屈
驱	駆
渠	渠
取	掫
娶	婜
龋	龋
趣	趣
去	厾
圈	圜
颧	颧
权	權
醛	醛
泉	葲
全	洤
痊	痊
拳	拳
犬	吠
券	券
劝	勧
缺	蒛
炔	炔
瘸	瘸
却	卻
鹊	鹊
榷	榷
确	確
雀	雀
裙	峮
群	羣
然	嘫
燃	嘫
冉	姌
染	媣
瓤	瓤
壤	壤
攘	攘
嚷	孃
让	讓
饶	隢
扰	擾
绕	隢
惹	惹
热	慹
壬	壬
仁	芢
人	亾
忍	涊
韧	韧
任	姙
认	認
刃	刄
妊	妊
纫	纫
扔	扔
仍	仍
日	ㄖ
戎	戎
茸	茸
蓉	嫆
荣	荣
融	瀜
熔	嫆
溶	嫆
容	嫆
绒	絨
冗	冗
揉	渘
柔	渘
肉	禸
茹	筎
蠕	蠕
儒	濡
孺	孺
如	洳
辱	媷
乳	乳
汝	肗
入	叺
褥	褥
软	軟
阮	朊
蕊	惢
瑞	瑞
锐	銳
闰	潤
润	潤
若	婼
弱	弜
撒	潵
洒	灑
萨	蕯
腮	腮
鳃	鳃
塞	噻
赛	噻
三	彡
叁	叁
伞	傘
散	潵
桑	鎟
嗓	鎟
丧	喪
搔	搔
骚	騒
扫	掃
嫂	溲
瑟	瑟
色	脃
涩	澀
森	潹
僧	僧
莎	莏
砂	唦
杀	摋
刹	閷
沙	乷
纱	纱
傻	傻
啥	倽
煞	繺
筛	篩
晒	曬
珊	姍
苫	苫
杉	杉
山	屾
删	剼
煽	煽
衫	釤
